Stream,Station,Reach,Datum,UTM Band,Lower UTM E,Lower UTM N,Focal Species 1,Focal Species 2,Focal Species 3,Survey Interval,name
Sonoita Creek,SNC23,1,NAD83,12R,521256,3487988,POOC,,,1,SNC23
Sonoita Creek,SNC24,1,NAD83,12R,521166,3487960,POOC,,,1,SNC24
Sonoita Creek,SNC25,1,NAD83,12R,521117,3487874,POOC,,,1,SNC25
Sonoita Creek,SNC26-F,1,NAD83,12R,521091,3487777,POOC,,,1,SNC26-F
Sonoita Creek,SNC27,2,NAD83,12R,516409,3484993,POOC,,,1,SNC27
Sonoita Creek,SNC28,2,NAD83,12R,516320,3485026,POOC,,,1,SNC28
Sonoita Creek,SNC29,2,NAD83,12R,516327,3485112,POOC,,,1,SNC29
Sonoita Creek,SNC30,2,NAD83,12R,516299,3485206,POOC,,,1,SNC30
Sonoita Creek,SNC31,2,NAD83,12R,516294,3485306,POOC,,,1,SNC31
Sonoita Creek,SNC32,2,NAD83,12R,516270,3485401,POOC,,,1,SNC32
Sonoita Creek,SNC33,2,NAD83,12R,516210,3485477,POOC,,,1,SNC33
Sonoita Creek,SNC34,2,NAD83,12R,516114,3485489,POOC,,,1,SNC34
Sonoita Creek,SNC35,2,NAD83,12R,516016,3485473,POOC,,,1,SNC35
Sonoita Creek,SNC36,2,NAD83,12R,515934,3485420,POOC,,,1,SNC36
Sonoita Creek,SNC37,2,NAD83,12R,515835,3485410,POOC,,,1,SNC37
Sonoita Creek,SNC38,2,NAD83,12R,515757,3485456,POOC,,,1,SNC38
Sonoita Creek,SNC39,2,NAD83,12R,515673,3485451,POOC,,,1,SNC39
Sonoita Creek,SNC40,2,NAD83,12R,515612,3485378,POOC,,,1,SNC40
Sonoita Creek,SNC41,2,NAD83,12R,515569,3485289,POOC,,,1,SNC41
Sonoita Creek,SNC42,2,NAD83,12R,515540,3485195,POOC,,,1,SNC42
Sonoita Creek,SNC43,2,NAD83,12R,515484,3485115,POOC,,,1,SNC43
Sonoita Creek,SNC44,2,NAD83,12R,515389,3485120,POOC,,,1,SNC44
Sonoita Creek,SNC45,2,NAD83,12R,515294,3485111,POOC,,,1,SNC45
Sonoita Creek,SNC46,2,NAD83,12R,515199,3485115,POOC,,,1,SNC46
Sonoita Creek,SNC47,2,NAD83,12R,515101,3485108,POOC,,,1,SNC47
Sonoita Creek,SNC48,2,NAD83,12R,515005,3485079,POOC,,,1,SNC48
Sonoita Creek,SNC49,2,NAD83,12R,514906,3485068,POOC,,,1,SNC49
Sonoita Creek,SNC50,2,NAD83,12R,514806,3485073,POOC,,,1,SNC50
Sonoita Creek,SNC51,2,NAD83,12R,514707,3485067,POOC,,,1,SNC51
Sonoita Creek,SNC52,2,NAD83,12R,514608,3485053,POOC,,,1,SNC52
Sonoita Creek,SNC53,2,NAD83,12R,514525,3485023,POOC,,,1,SNC53
Sonoita Creek,SNC54,2,NAD83,12R,514435,3485033,POOC,,,1,SNC54
Sonoita Creek,SNC55,3,NAD83,12R,512103,3484314,POOC,,,1,SNC55
Sonoita Creek,SNC56,3,NAD83,12R,512046,3484393,POOC,,,1,SNC56
Sonoita Creek,SNC57,3,NAD83,12R,511959,3484362,POOC,,,1,SNC57
Sonoita Creek,SNC58,3,NAD83,12R,511867,3484338,POOC,,,1,SNC58
Sonoita Creek,SNC59,3,NAD83,12R,511785,3484300,POOC,,,1,SNC59
Sonoita Creek,SNC60,3,NAD83,12R,511740,3484214,POOC,,,1,SNC60
Sonoita Creek,SNC61,3,NAD83,12R,511679,3484140,POOC,,,1,SNC61
Sonoita Creek,SNC62,3,NAD83,12R,511633,3484070,POOC,,,1,SNC62
Sonoita Creek,SNC63,3,NAD83,12R,511622,3483984,POOC,,,1,SNC63
Sonoita Creek,SNC64,3,NAD83,12R,511576,3483900,POOC,,,1,SNC64
Sonoita Creek,SNC65,3,NAD83,12R,511527,3483815,POOC,,,1,SNC65
Sonoita Creek,SNC66,3,NAD83,12R,511512,3483721,POOC,,,1,SNC66
Sonoita Creek,SNC67,3,NAD83,12R,511489,3483628,POOC,,,1,SNC67
Sonoita Creek,SNC68,3,NAD83,12R,511446,3483552,POOC,,,1,SNC68
Sonoita Creek,SNC69,3,NAD83,12R,511409,3483461,POOC,,,1,SNC69
Sonoita Creek,SNC70,3,NAD83,12R,511317,3483433,POOC,,,1,SNC70
Sonoita Creek,SNC71,3,NAD83,12R,511235,3483379,POOC,,,1,SNC71
Sonoita Creek,SNC72,3,NAD83,12R,511163,3483310,POOC,,,1,SNC72
Sonoita Creek,SNC73,3,NAD83,12R,511118,3483224,POOC,,,1,SNC73
Sonoita Creek,SNC74,3,NAD83,12R,511119,3483127,POOC,,,1,SNC74
Sonoita Creek,SNC75,3,NAD83,12R,511121,3483030,POOC,,,1,SNC75
Sonoita Creek,SNC76,3,NAD83,12R,511065,3482952,POOC,,,1,SNC76
Sonoita Creek,SNC77,3,NAD83,12R,510981,3482898,POOC,,,1,SNC77
Sonoita Creek,SNC78,3,NAD83,12R,510902,3482842,POOC,,,1,SNC78
Sonoita Creek,SNC79,3,NAD83,12R,510816,3482794,POOC,,,1,SNC79
Sonoita Creek,SNC80,3,NAD83,12R,510743,3482725,POOC,,,1,SNC80
Sonoita Creek,SNC81,3,NAD83,12R,510666,3482663,POOC,,,1,SNC81
Sonoita Creek,SNC82,3,NAD83,12R,510608,3482582,POOC,,,1,SNC82
Sonoita Creek,SNC83,3,NAD83,12R,510556,3482497,POOC,,,1,SNC83
Sonoita Creek,SNC84,3,NAD83,12R,510498,3482420,POOC,,,1,SNC84
Sonoita Creek,SNC85,3,NAD83,12R,510416,3482366,POOC,,,1,SNC85
Sonoita Creek,SNC86,3,NAD83,12R,510320,3482344,POOC,,,1,SNC86
Sonoita Creek,SNC87,3,NAD83,12R,510227,3482367,POOC,,,1,SNC87
Sonoita Creek,SNC88,3,NAD83,12R,510148,3482396,POOC,,,1,SNC88
Sonoita Creek,SNC89,3,NAD83,12R,510053,3482376,POOC,,,1,SNC89
Sonoita Creek,SNC90,3,NAD83,12R,509968,3482332,POOC,,,1,SNC90
Sonoita Creek,SNC91,3,NAD83,12R,509878,3482293,POOC,,,1,SNC91
Sonoita Creek,SNC92,3,NAD83,12R,509829,3482216,POOC,,,1,SNC92
Sonoita Creek,SNC93,3,NAD83,12R,509800,3482124,POOC,,,1,SNC93
Sonoita Creek,SNC94,3,NAD83,12R,509751,3482039,POOC,,,1,SNC94
Sonoita Creek,SNC95,3,NAD83,12R,509676,3481977,POOC,,,1,SNC95
Sonoita Creek,SNC96,3,NAD83,12R,509579,3481973,POOC,,,1,SNC96
Sonoita Creek,SNC97,3,NAD83,12R,509504,3482034,POOC,,,1,SNC97
Sonoita Creek,SNC98,3,NAD83,12R,509458,3482121,POOC,,,1,SNC98
Sonoita Creek,SNC99,3,NAD83,12R,509382,3482173,POOC,,,1,SNC99
Sonoita Creek,SNC100,3,NAD83,12R,509292,3482212,POOC,,,1,SNC100
Sonoita Creek,SNC101,3,NAD83,12R,509194,3482228,POOC,,,1,SNC101
Sonoita Creek,SNC102,3,NAD83,12R,509099,3482205,POOC,,,1,SNC102
Sonoita Creek,SNC103,3,NAD83,12R,509000,3482191,POOC,,,1,SNC103
Sonoita Creek,SNC104,3,NAD83,12R,508904,3482176,POOC,,,1,SNC104
Sonoita Creek,SNC105,3,NAD83,12R,508805,3482169,POOC,,,1,SNC105
Sonoita Creek,SNC106,3,NAD83,12R,508706,3482182,POOC,,,1,SNC106
Sonoita Creek,SNC107,3,NAD83,12R,508607,3482189,POOC,,,1,SNC107
Sonoita Creek,SNC108,3,NAD83,12R,508518,3482228,POOC,,,1,SNC108
Sonoita Creek,SNC109,3,NAD83,12R,508462,3482311,POOC,,,1,SNC109
Sonoita Creek,SNC110,3,NAD83,12R,508424,3482403,POOC,,,1,SNC110
Sonoita Creek,SNC111,3,NAD83,12R,508410,3482501,POOC,,,1,SNC111
Sonoita Creek,SNC112,3,NAD83,12R,508351,3482556,POOC,,,1,SNC112
Sonoita Creek,SNC113,3,NAD83,12R,508251,3482556,POOC,,,1,SNC113
Sonoita Creek,SNC114,3,NAD83,12R,508165,3482597,POOC,,,1,SNC114
Sonoita Creek,SNC115,3,NAD83,12R,508067,3482592,POOC,,,1,SNC115
Sonoita Creek,SNC116,3,NAD83,12R,507973,3482563,POOC,,,1,SNC116
Sonoita Creek,SNC117,3,NAD83,12R,507878,3482543,POOC,,,1,SNC117
Sonoita Creek,SNC118,3,NAD83,12R,507807,3482608,POOC,,,1,SNC118
Sonoita Creek,SNC119,3,NAD83,12R,507735,3482659,POOC,,,1,SNC119
Sonoita Creek,SNC120,3,NAD83,12R,507650,3482697,POOC,,,1,SNC120
Sonoita Creek,SNC121,3,NAD83,12R,507633,3482770,POOC,,,1,SNC121
Sonoita Creek,SNC122,3,NAD83,12R,507622,3482856,POOC,,,1,SNC122
Sonoita Creek,SNC123,3,NAD83,12R,507533,3482823,POOC,,,1,SNC123
Sonoita Creek,SNC124,3,NAD83,12R,507453,3482869,POOC,,,1,SNC124
Sonoita Creek,SNC125,3,NAD83,12R,507357,3482896,POOC,,,1,SNC125
Sonoita Creek,SNC126,3,NAD83,12R,507266,3482931,POOC,,,1,SNC126
Sonoita Creek,SNC127,3,NAD83,12R,507199,3482995,POOC,,,1,SNC127
Sonoita Creek,SNC128,3,NAD83,12R,507123,3483059,POOC,,,1,SNC128
Sonoita Creek,SNC129,3,NAD83,12R,507036,3483102,POOC,,,1,SNC129
AD Wash,ADW01-F,,NAD83,12S,368445,3761683,POOC,,,3,ADW01-F
AD Wash,ADW02-F,,NAD83,12S,368414,3761591,POOC,,,3,ADW02-F
AD Wash,ADW03-F,,NAD83,12S,368324,3761553,POOC,,,3,ADW03-F
Buckhorn Spring,BHS01-F,,NAD83,12S,364314,3763819,POOC,,,3,BHS01-F
Buckhorn Spring,BHS02-F,,NAD83,12S,364316,3763921,POOC,,,3,BHS02-F
Harden Cienega Creek,HCC01,,NAD83,12S,676496,3673514,GIIN,,,3,HCC01
Harden Cienega Creek,HCC02,,NAD83,12S,676410,3673561,GIIN,,,3,HCC02
Harden Cienega Creek,HCC03,,NAD83,12S,676382,3673653,GIIN,,,3,HCC03
Harden Cienega Creek,HCC04,,NAD83,12S,676333,3673720,GIIN,,,3,HCC04
Harden Cienega Creek,HCC05,,NAD83,12S,676265,3673772,GIIN,,,3,HCC05
Harden Cienega Creek,HCC06,,NAD83,12S,676265,3673870,GIIN,,,3,HCC06
Harden Cienega Creek,HCC07,,NAD83,12S,676267,3673969,GIIN,,,3,HCC07
Harden Cienega Creek,HCC08,,NAD83,12S,676187,3674007,GIIN,,,3,HCC08
Harden Cienega Creek,HCC09,,NAD83,12S,676095,3674040,GIIN,,,3,HCC09
Harden Cienega Creek,HCC10,,NAD83,12S,675996,3674038,GIIN,,,3,HCC10
Harden Cienega Creek,HCC11,,NAD83,12S,675900,3674021,GIIN,,,3,HCC11
Harden Cienega Creek,HCC12,,NAD83,12S,675857,3674104,GIIN,,,3,HCC12
Harden Cienega Creek,HCC13,,NAD83,12S,675869,3674203,GIIN,,,3,HCC13
Harden Cienega Creek,HCC14,,NAD83,12S,675801,3674265,GIIN,,,3,HCC14
Harden Cienega Creek,HCC15,,NAD83,12S,675733,3674206,GIIN,,,3,HCC15
Harden Cienega Creek,HCC16,,NAD83,12S,675656,3674150,GIIN,,,3,HCC16
Harden Cienega Creek,HCC17,,NAD83,12S,675614,3674236,GIIN,,,3,HCC17
Harden Cienega Creek,HCC18,,NAD83,12S,675585,3674331,GIIN,,,3,HCC18
Harden Cienega Creek,HCC19,,NAD83,12S,675535,3674399,GIIN,,,3,HCC19
Harden Cienega Creek,HCC20,,NAD83,12S,675443,3674411,GIIN,,,3,HCC20
Harden Cienega Creek,HCC21,,NAD83,12S,675345,3674429,GIIN,,,3,HCC21
Harden Cienega Creek,HCC22,,NAD83,12S,675260,3674479,GIIN,,,3,HCC22
Harden Cienega Creek,HCC23,,NAD83,12S,675175,3674521,GIIN,,,3,HCC23
Harden Cienega Creek,HCC24,,NAD83,12S,675076,3674513,GIIN,,,3,HCC24
Harden Cienega Creek,HCC25,,NAD83,12S,674979,3674534,GIIN,,,3,HCC25
Harden Cienega Creek,HCC26,,NAD83,12S,674886,3674571,GIIN,,,3,HCC26
Harden Cienega Creek,HCC27-F,,NAD83,12S,674787,3674583,GIIN,,,3,HCC27-F
Harden Cienega Creek,HCC28,,NAD83,12S,674725,3674660,GIIN,,,3,HCC28
Harden Cienega Creek,HCC29,,NAD83,12S,674649,3674655,GIIN,,,3,HCC29
Unnamed Drainage #68B,UND01-F,,NAD83,12S,464846,3711196,GIIN,,,1,UND01-F
Unnamed Drainage #68B,UND02-F,,NAD83,12S,464798,3711275,GIIN,,,1,UND02-F
Unnamed Drainage #68B,UND03-F,,NAD83,12S,464704,3711285,GIIN,,,1,UND03-F
Middle Blue River,MBR01,1,NAD83,12S,666316,3709497,TICO,MEFU,,3,MBR01
Middle Blue River,MBR02,1,NAD83,12S,666346,3709405,TICO,MEFU,,3,MBR02
Middle Blue River,MBR03,1,NAD83,12S,666328,3709312,TICO,MEFU,,3,MBR03
Middle Blue River,MBR04,1,NAD83,12S,666263,3709236,TICO,MEFU,,3,MBR04
Middle Blue River,MBR05,1,NAD83,12S,666205,3709155,TICO,MEFU,,3,MBR05
Middle Blue River,MBR06,1,NAD83,12S,666249,3709102,TICO,MEFU,,3,MBR06
Middle Blue River,MBR07,1,NAD83,12S,666340,3709076,TICO,MEFU,,3,MBR07
Middle Blue River,MBR08,1,NAD83,12S,666403,3708999,TICO,MEFU,,3,MBR08
Middle Blue River,MBR09,1,NAD83,12S,666441,3708908,TICO,MEFU,,3,MBR09
Middle Blue River,MBR10,1,NAD83,12S,666488,3708821,TICO,MEFU,,3,MBR10
Middle Blue River,MBR11,1,NAD83,12S,666490,3708730,TICO,MEFU,,3,MBR11
Middle Blue River,MBR12,1,NAD83,12S,666435,3708648,TICO,MEFU,,3,MBR12
Middle Blue River,MBR13,1,NAD83,12S,666394,3708561,TICO,MEFU,,3,MBR13
Middle Blue River,MBR14,1,NAD83,12S,666356,3708469,TICO,MEFU,,3,MBR14
Middle Blue River,MBR15,1,NAD83,12S,666367,3708370,TICO,MEFU,,3,MBR15
Middle Blue River,MBR16,1,NAD83,12S,666373,3708272,TICO,MEFU,,3,MBR16
Middle Blue River,MBR17,1,NAD83,12S,666353,3708178,TICO,MEFU,,3,MBR17
Middle Blue River,MBR18,1,NAD83,12S,666304,3708092,TICO,MEFU,,3,MBR18
Middle Blue River,MBR19,1,NAD83,12S,666240,3708017,TICO,MEFU,,3,MBR19
Middle Blue River,MBR20,1,NAD83,12S,666204,3707925,TICO,MEFU,,3,MBR20
Middle Blue River,MBR21,1,NAD83,12S,666124,3707866,TICO,MEFU,,3,MBR21
Middle Blue River,MBR22,1,NAD83,12S,666089,3707780,TICO,MEFU,,3,MBR22
Middle Blue River,MBR23,1,NAD83,12S,666098,3707681,TICO,MEFU,,3,MBR23
Middle Blue River,MBR24,1,NAD83,12S,666166,3707614,TICO,MEFU,,3,MBR24
Middle Blue River,MBR25,1,NAD83,12S,666237,3707545,TICO,MEFU,,3,MBR25
Middle Blue River,MBR26,1,NAD83,12S,666294,3707470,TICO,MEFU,,3,MBR26
Middle Blue River,MBR27,1,NAD83,12S,666275,3707372,TICO,MEFU,,3,MBR27
Middle Blue River,MBR28,1,NAD83,12S,666254,3707275,TICO,MEFU,,3,MBR28
Middle Blue River,MBR29,1,NAD83,12S,666348,3707245,TICO,MEFU,,3,MBR29
Middle Blue River,MBR30,1,NAD83,12S,666363,3707155,TICO,MEFU,,3,MBR30
Middle Blue River,MBR31,1,NAD83,12S,666313,3707075,TICO,MEFU,,3,MBR31
Middle Blue River,MBR32,1,NAD83,12S,666227,3707032,TICO,MEFU,,3,MBR32
Middle Blue River,MBR33,1,NAD83,12S,666214,3706937,TICO,MEFU,,3,MBR33
Middle Blue River,MBR34,1,NAD83,12S,666246,3706843,TICO,MEFU,,3,MBR34
Middle Blue River,MBR35,1,NAD83,12S,666332,3706795,TICO,MEFU,,3,MBR35
Middle Blue River,MBR36,1,NAD83,12S,666424,3706759,TICO,MEFU,,3,MBR36
Middle Blue River,MBR37,1,NAD83,12S,666505,3706701,TICO,MEFU,,3,MBR37
Middle Blue River,MBR38,1,NAD83,12S,666588,3706645,TICO,MEFU,,3,MBR38
Middle Blue River,MBR39,1,NAD83,12S,666677,3706643,TICO,MEFU,,3,MBR39
Middle Blue River,MBR40,1,NAD83,12S,666772,3706657,TICO,MEFU,,3,MBR40
Middle Blue River,MBR41,1,NAD83,12S,666781,3706584,TICO,MEFU,,3,MBR41
Middle Blue River,MBR42,1,NAD83,12S,666778,3706497,TICO,MEFU,,3,MBR42
Middle Blue River,MBR43,1,NAD83,12S,666852,3706429,TICO,MEFU,,3,MBR43
Middle Blue River,MBR44,2,NAD83,12S,666923,3706359,TICO,MEFU,,3,MBR44
Middle Blue River,MBR45,2,NAD83,12S,666944,3706266,TICO,MEFU,,3,MBR45
Middle Blue River,MBR46,2,NAD83,12S,667015,3706213,TICO,MEFU,,3,MBR46
Middle Blue River,MBR47,2,NAD83,12S,667093,3706275,TICO,MEFU,,3,MBR47
Middle Blue River,MBR48,2,NAD83,12S,667160,3706222,TICO,MEFU,,3,MBR48
Middle Blue River,MBR49,2,NAD83,12S,667210,3706139,TICO,MEFU,,3,MBR49
Middle Blue River,MBR50,2,NAD83,12S,667143,3706077,TICO,MEFU,,3,MBR50
Middle Blue River,MBR51,2,NAD83,12S,667173,3705982,TICO,MEFU,,3,MBR51
Middle Blue River,MBR52,2,NAD83,12S,667254,3705941,TICO,MEFU,,3,MBR52
Middle Blue River,MBR53,2,NAD83,12S,667353,3705932,TICO,MEFU,,3,MBR53
Middle Blue River,MBR54,2,NAD83,12S,667440,3705895,TICO,MEFU,,3,MBR54
Middle Blue River,MBR55,2,NAD83,12S,667474,3705802,TICO,MEFU,,3,MBR55
Middle Blue River,MBR56,2,NAD83,12S,667516,3705714,TICO,MEFU,,3,MBR56
Middle Blue River,MBR57,2,NAD83,12S,667579,3705639,TICO,MEFU,,3,MBR57
Middle Blue River,MBR58,2,NAD83,12S,667669,3705598,TICO,MEFU,,3,MBR58
Middle Blue River,MBR59,2,NAD83,12S,667756,3705557,TICO,MEFU,,3,MBR59
Middle Blue River,MBR60,2,NAD83,12S,667851,3705557,TICO,MEFU,,3,MBR60
Middle Blue River,MBR61,2,NAD83,12S,667937,3705516,TICO,MEFU,,3,MBR61
Middle Blue River,MBR62,2,NAD83,12S,668010,3705454,TICO,MEFU,,3,MBR62
Middle Blue River,MBR63,2,NAD83,12S,668107,3705470,TICO,MEFU,,3,MBR63
Middle Blue River,MBR64,2,NAD83,12S,668197,3705498,TICO,MEFU,,3,MBR64
Middle Blue River,MBR65,2,NAD83,12S,668285,3705473,TICO,MEFU,,3,MBR65
Middle Blue River,MBR66,2,NAD83,12S,668330,3705385,TICO,MEFU,,3,MBR66
Middle Blue River,MBR67,2,NAD83,12S,668425,3705357,TICO,MEFU,,3,MBR67
Middle Blue River,MBR68,2,NAD83,12S,668514,3705398,TICO,MEFU,,3,MBR68
Middle Blue River,MBR69,2,NAD83,12S,668609,3705382,TICO,MEFU,,3,MBR69
Middle Blue River,MBR70,2,NAD83,12S,668653,3705293,TICO,MEFU,,3,MBR70
Middle Blue River,MBR71,2,NAD83,12S,668669,3705195,TICO,MEFU,,3,MBR71
Middle Blue River,MBR72,2,NAD83,12S,668656,3705098,TICO,MEFU,,3,MBR72
Middle Blue River,MBR73,2,NAD83,12S,668649,3704998,TICO,MEFU,,3,MBR73
Middle Blue River,MBR74,2,NAD83,12S,668702,3704926,TICO,MEFU,,3,MBR74
Middle Blue River,MBR75,2,NAD83,12S,668794,3704889,TICO,MEFU,,3,MBR75
Middle Blue River,MBR76,2,NAD83,12S,668789,3704797,TICO,MEFU,,3,MBR76
Middle Blue River,MBR77,2,NAD83,12S,668778,3704704,TICO,MEFU,,3,MBR77
Middle Blue River,MBR78,2,NAD83,12S,668861,3704649,TICO,MEFU,,3,MBR78
Middle Blue River,MBR79,2,NAD83,12S,668889,3704556,TICO,MEFU,,3,MBR79
Middle Blue River,MBR80,2,NAD83,12S,668847,3704472,TICO,MEFU,,3,MBR80
Middle Blue River,MBR81,2,NAD83,12S,668784,3704395,TICO,MEFU,,3,MBR81
Middle Blue River,MBR82,2,NAD83,12S,668771,3704298,TICO,MEFU,,3,MBR82
Middle Blue River,MBR83,2,NAD83,12S,668774,3704198,TICO,MEFU,,3,MBR83
Middle Blue River,MBR84,2,NAD83,12S,668791,3704102,TICO,MEFU,,3,MBR84
Middle Blue River,MBR85,2,NAD83,12S,668791,3704002,TICO,MEFU,,3,MBR85
Middle Blue River,MBR86,2,NAD83,12S,668840,3703917,TICO,MEFU,,3,MBR86
Middle Blue River,MBR87,2,NAD83,12S,668909,3703844,TICO,MEFU,,3,MBR87
Middle Blue River,MBR88,2,NAD83,12S,668959,3703765,TICO,MEFU,,3,MBR88
Middle Blue River,MBR89,2,NAD83,12S,668971,3703668,TICO,MEFU,,3,MBR89
Middle Blue River,MBR90,2,NAD83,12S,669006,3703574,TICO,MEFU,,3,MBR90
Middle Blue River,MBR91,2,NAD83,12S,669048,3703483,TICO,MEFU,,3,MBR91
Middle Blue River,MBR92,2,NAD83,12S,669110,3703412,TICO,MEFU,,3,MBR92
Middle Blue River,MBR93,2,NAD83,12S,669142,3703321,TICO,MEFU,,3,MBR93
Middle Blue River,MBR94,2,NAD83,12S,669164,3703224,TICO,MEFU,,3,MBR94
Middle Blue River,MBR95,2,NAD83,12S,669147,3703127,TICO,MEFU,,3,MBR95
Middle Blue River,MBR96,2,NAD83,12S,669108,3703035,TICO,MEFU,,3,MBR96
Middle Blue River,MBR97,2,NAD83,12S,669099,3702937,TICO,MEFU,,3,MBR97
Middle Blue River,MBR98,2,NAD83,12S,669075,3702844,TICO,MEFU,,3,MBR98
Middle Blue River,MBR99,2,NAD83,12S,669070,3702745,TICO,MEFU,,3,MBR99
Middle Blue River,MBR100,2,NAD83,12S,669029,3702655,TICO,MEFU,,3,MBR100
Middle Blue River,MBR101,2,NAD83,12S,669040,3702561,TICO,MEFU,,3,MBR101
Middle Blue River,MBR102,2,NAD83,12S,669047,3702462,TICO,MEFU,,3,MBR102
Middle Blue River,MBR103,2,NAD83,12S,668970,3702403,TICO,MEFU,,3,MBR103
Middle Blue River,MBR104,2,NAD83,12S,668904,3702330,TICO,MEFU,,3,MBR104
Middle Blue River,MBR105,2,NAD83,12S,668833,3702263,TICO,MEFU,,3,MBR105
Middle Blue River,MBR106,2,NAD83,12S,668835,3702168,TICO,MEFU,,3,MBR106
Middle Blue River,MBR107,2,NAD83,12S,668787,3702081,TICO,MEFU,,3,MBR107
Middle Blue River,MBR108-F,2,NAD83,12S,668775,3701982,TICO,MEFU,,3,MBR108-F
Middle Blue River,MBR109,2,NAD83,12S,668763,3701883,TICO,MEFU,,3,MBR109
Middle Blue River,MBR110,2,NAD83,12S,668720,3701796,TICO,MEFU,,3,MBR110
Middle Blue River,MBR111,2,NAD83,12S,668762,3701707,TICO,MEFU,,3,MBR111
Middle Blue River,MBR112,2,NAD83,12S,668760,3701608,TICO,MEFU,,3,MBR112
Middle Blue River,MBR113,2,NAD83,12S,668749,3701508,TICO,MEFU,,3,MBR113
Middle Blue River,MBR114,2,NAD83,12S,668777,3701420,TICO,MEFU,,3,MBR114
Middle Blue River,MBR115,2,NAD83,12S,668813,3701329,TICO,MEFU,,3,MBR115
Middle Blue River,MBR116,2,NAD83,12S,668878,3701257,TICO,MEFU,,3,MBR116
Middle Blue River,MBR117,2,NAD83,12S,668912,3701163,TICO,MEFU,,3,MBR117
Middle Blue River,MBR118,2,NAD83,12S,668935,3701066,TICO,MEFU,,3,MBR118
Middle Blue River,MBR119,2,NAD83,12S,668949,3700967,TICO,MEFU,,3,MBR119
Middle Blue River,MBR120,2,NAD83,12S,668907,3700881,TICO,MEFU,,3,MBR120
Middle Blue River,MBR121,2,NAD83,12S,668836,3700811,TICO,MEFU,,3,MBR121
Middle Blue River,MBR122,2,NAD83,12S,668796,3700720,TICO,MEFU,,3,MBR122
Middle Blue River,MBR123,2,NAD83,12S,668782,3700623,TICO,MEFU,,3,MBR123
Middle Blue River,MBR124,2,NAD83,12S,668783,3700524,TICO,MEFU,,3,MBR124
Middle Blue River,MBR125,2,NAD83,12S,668793,3700427,TICO,MEFU,,3,MBR125
Middle Blue River,MBR126,2,NAD83,12S,668749,3700337,TICO,MEFU,,3,MBR126
Middle Blue River,MBR127,2,NAD83,12S,668719,3700244,TICO,MEFU,,3,MBR127
Middle Blue River,MBR128,2,NAD83,12S,668706,3700146,TICO,MEFU,,3,MBR128
Middle Blue River,MBR129,2,NAD83,12S,668658,3700060,TICO,MEFU,,3,MBR129
Middle Blue River,MBR130,2,NAD83,12S,668620,3699971,TICO,MEFU,,3,MBR130
Middle Blue River,MBR131,2,NAD83,12S,668537,3699916,TICO,MEFU,,3,MBR131
Middle Blue River,MBR132,2,NAD83,12S,668486,3699830,TICO,MEFU,,3,MBR132
Middle Blue River,MBR133,2,NAD83,12S,668476,3699733,TICO,MEFU,,3,MBR133
Middle Blue River,MBR134,2,NAD83,12S,668476,3699634,TICO,MEFU,,3,MBR134
Middle Blue River,MBR135,3,NAD83,12S,668477,3699536,TICO,MEFU,,3,MBR135
Middle Blue River,MBR136,3,NAD83,12S,668464,3699440,TICO,MEFU,,3,MBR136
Middle Blue River,MBR137,3,NAD83,12S,668513,3699353,TICO,MEFU,,3,MBR137
Middle Blue River,MBR138,3,NAD83,12S,668501,3699264,TICO,MEFU,,3,MBR138
Middle Blue River,MBR139,3,NAD83,12S,668464,3699172,TICO,MEFU,,3,MBR139
Middle Blue River,MBR140,3,NAD83,12S,668473,3699074,TICO,MEFU,,3,MBR140
Middle Blue River,MBR141,3,NAD83,12S,668491,3698976,TICO,MEFU,,3,MBR141
Middle Blue River,MBR142,3,NAD83,12S,668506,3698877,TICO,MEFU,,3,MBR142
Middle Blue River,MBR143,3,NAD83,12S,668524,3698779,TICO,MEFU,,3,MBR143
Middle Blue River,MBR144,3,NAD83,12S,668493,3698685,TICO,MEFU,,3,MBR144
Middle Blue River,MBR145,3,NAD83,12S,668423,3698618,TICO,MEFU,,3,MBR145
Middle Blue River,MBR146,3,NAD83,12S,668351,3698564,TICO,MEFU,,3,MBR146
Middle Blue River,MBR147,3,NAD83,12S,668336,3698466,TICO,MEFU,,3,MBR147
Middle Blue River,MBR148,3,NAD83,12S,668313,3698370,TICO,MEFU,,3,MBR148
Middle Blue River,MBR149,3,NAD83,12S,668251,3698294,TICO,MEFU,,3,MBR149
Middle Blue River,MBR150,3,NAD83,12S,668153,3698287,TICO,MEFU,,3,MBR150
Middle Blue River,MBR151,3,NAD83,12S,668075,3698231,TICO,MEFU,,3,MBR151
Middle Blue River,MBR152,3,NAD83,12S,668077,3698131,TICO,MEFU,,3,MBR152
Middle Blue River,MBR153,3,NAD83,12S,668119,3698045,TICO,MEFU,,3,MBR153
Middle Blue River,MBR154,3,NAD83,12S,668132,3697949,TICO,MEFU,,3,MBR154
Middle Blue River,MBR155,3,NAD83,12S,668167,3697855,TICO,MEFU,,3,MBR155
Middle Blue River,MBR156,3,NAD83,12S,668182,3697760,TICO,MEFU,,3,MBR156
Middle Blue River,MBR157,3,NAD83,12S,668175,3697661,TICO,MEFU,,3,MBR157
Middle Blue River,MBR158,3,NAD83,12S,668144,3697574,TICO,MEFU,,3,MBR158
Middle Blue River,MBR159,3,NAD83,12S,668056,3697528,TICO,MEFU,,3,MBR159
